Project Name ,Rahat ,,Created By,Nishu Bade Shrestha ,,,,,,
Module Name ,Agency Project management Module ,,Date of creation ,"30 July,2021",,,,,,
Iteration No/Testing Cycle,3,,Date of revision ,"December 28,2021",,,,,,
Os/Platform Used ,Windows,,Date of Review ,"December 28,2021",,,,,,
,,,,,,,,,,
Test Case ID #,Test Scenario,Test Case Description ,Test Case Steps ,Expected Result ,Priority ,Version ,Actual Result ,Status ,Tested Date ,Notes 
AGENCY_PROJECST_001,Verify Create  Project ,This is the rahat distribution project conducted by agency ,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new ",System users should be able to add projects in the system ,High,v1.0,Admin Can add projects in the Agency App,Pass,"September 21,2021",
AGENCY_PROJECST_002,Verify add Project in Dashboard ,"After creating a project, the number of Project will be added in Dashboard as well ","1. Login to Agency app 
2. Go to Dashboard 
",The number of project should be increased after creating a project ,High,v1.0,The number of projects in Dashboard is increased by 1 after I create a new project ,Pass,"September 21,2021",
AGENCY_PROJECST_003,Verify add Project in Dashboard ,"After creating project, The project will be displayed in Pie chart and bargraph as well ","1. Login to Agency app 
2. Go to Dashboard 
",The Project should be displed in the Pie chart and bargraph of dashboard. ,High,v1.0,The latest project is diplayed in Pie chart and dahsboard ,Pass,"September 21,2021",
AGENCY_PROJECST_004,Verify Display project in Beneficity ,The beneficiries can be assigned to a project ,"1.Login to Agency App
2.Go to Side Bar>Beneficiry 
3. Click on Add new 
4. Select the Project ","After creating project, the created list of projects should be displayed in dropdown menu while  adding beneficiry to a project ",High,v1.0,"While adding a new beneficiary from agency ap individually, all the available projects are displyed in drodown. ",Pass,"September 21,2021",
AGENCY_PROJECST_005,Verify Display project in Vendor ,The Vendor   can be assigned to a project ,"1.Login to Agency App
2.Go to Side Bar>Vendor  
3. Click on Add new 
4. Select the Project ","After creating project, the created list of projects should be displayed in dropdown menu while approving the Vendor ",High,v1.0,"While approving a new vendor from agency app,all the available projects are displyed in drodown. ",Pass,"September 21,2021",
AGENCY_PROJECST_006,Verify Display project in Social Mobilizer ,The Social Mobilizer  can be assigned to a project ,"1.Login to Agency App
2.Go to Side Bar>Social Mobilizer 
3. Click on Add new 
4. Select the Project ","After creating project, the created list of projects should be displayed in dropdown menu while approving the social mobilizer ",High,v1.1,"While approving a new social mobilizer from agency app,all the available projects are displyed in drodown. ",Pass,"September 21,2021",
AGENCY_PROJECST_007,Verify Information of Project ,The details of Project is displayed in the system ,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new ","The Information of Projects while adding project should be:
Project Name:
Project Manager:
Location:  
Description",High,v1.0,"The details of Project has been updated to :
Name 
Project Manager 
Location 
Financial Institution 
Description ",Pass,"September 21,2021",
AGENCY_PROJECST_008,Verify assign Finanical Institution for Project ,each project will be assigned a finanical institution ,"1.Login to Agency App
2.Go to Side Bar>project
3. Click on Add new ",System Users should be able to add finanical institution to the project. ,High,v1.0,Admin can add Finanical Institution enlisted in agency app ,Pass,"September 21,2021",
AGENCY_PROJECST_009,Verify view Project in Financial Institution ,Users can view the projects assigned to financial institution ,"1.Login to Agency App
2.Go to Side Bar>Finanical Instituution 
3. View Details of Financial Institution
",System Users should be able to view the Projects that has been assigned to the particluar finanical institution ,High,v1.0,Not available at the moment ,Fail,"September 21,2021",
AGENCY_PROJECST_010,Verify Assign Vendor For Project ,Vendors should be assigned to the project ,,System Users should be able to add vendors  to the project. ,High,v1.0,"Currently,we cannot assign  vendor to the proejct.  ",Fail,"September 21,2021",
AGENCY_PROJECST_011,Verify view Project in Vendor ,Users can view the projects assigned to Vendor ,"1.Login to Agency App
2.Go to Side Bar>Vendor 
3. View Details of Vendor ",System Users should be able to view the Projects that has been assigned to the particluar vendor ,High,v1.0,"Currently,we cannot assign  vendor to the proejct.  ",Fail,"September 21,2021",
AGENCY_PROJECST_012,Verify Assign Social Mobilizer  For Project ,Social Mobilizer can be assigned to the project ,,System Users should be able to add social mobilizer to the project if required ,High,v1.0,Adding social mobilizer in a project is available while approving the mobilizer ,Pass,"September 21,2021",
