Project Name ,Rahat ,,Created By,Nishu Bade Shrestha  ,,,,,
Module Name ,Agency Mobilizer ,,Date of creation ,"15 September,2021",,,,,
Iteration No/Testing Cycle,2,,Date of Review ,"28 December,2021",,,,,
Os/Platform Used ,Windows ,,Date of Revision ,"28 December,2021",,,,,
,,,,,,,,,
Test Case ID #,Test Scenario,Test Case Description ,Expected Result ,Priority ,Version ,Actual Result ,Status ,Tested Date ,Notes 
AGENCY_SOCIALMOBILIZER_001,Verify Add new Social Mobilizer ,"Social Mobilizer can be added in two ways:
1. Registration from Mobilizer app
2. Adding Social Mobilizer from agency app ",System should allow system users to add Social Mobilizer from agency app ,High,v1.2,This is actually not required. ,Fail,"24 September,2021",
AGENCY_SOCIALMOBILIZER_002,Verify Connect Mobilizer app ,Mobilizer app is used by Social Mobilizers to track the rahat distribution ,System should be connected to Rahat Mobilizer app ,High,v1.2,The Agency app is connected to Vendor app. The vendor Activities of Vendor app is updated in Agency app ,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_003,Verify Add new Social Mobilizer from Mobilizer app ,Social Mobilizers can register account using Rahat Mobilizer app ,System should add new Social Mobilizer as they register from Mobilizer app ,High,v1.2,"after Mobilizer registers from Mobilizer app, agency app recieves a new social mobilizer.",Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_004,Verify Notification of Registration from Mobilizer app ,Social Mobilizers can register account using Rahat Mobilizer app which is notified to agency app ,System should get an notification as Social Mobilizer register in Mobilizer app ,High,v1.2,The notification feature is not available at the moment ,Fail,"24 September,2021",
AGENCY_SOCIALMOBILIZER_005,Verify Approve Social Mobilizer ,"After Social Mobilizer register from Mobilizer app, he/she needs approval from agency  ",system users should be able to approve/reject  the registerd Social Mobilizers. ,High,v1.3,Agency app Users can approve and reject the mobilizer ,Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_006,Verify Assign Project ,To approve the Social mobilizr agency needs to assign project to the mobilizr ,System user should be able to assign project to the mobilizer while approving the regitratio request. ,High,v1.2,Agency can assign social mobilizer before final approval ,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_007,Verify Social Mobilizer Active status ,"After approving the Social Mobilizer, Social Mobilizer can be active or suspend status ",System users should be able to activate or deactivate the Social Mobilizers. ,High,v1.2,Vendor canot be activated or suspened as per the reuirement . ,Fail,"24 September,2021",
AGENCY_SOCIALMOBILIZER_008,Verify Update Details of Social Mobilizer from Mobilizer app ,"As Social Mobilizer register from Mobilizer app, his/her details are updated in the system ","System should sync the details of Social Mobilizer from the Mobilizer app 
Profile Picture 
Social Mobilizer Status( Active/Suspend)
Name
Phone Number 
Address
Organization Name 
Email address
GOvt ID card",High,v1.3,"The details of Mobilizers Viewed are:
Profile Picture 
Social Mobilizer Status( Active/Suspend)
Name
Phone Number 
Address
Organization Name 
Email address
GOvt ID card",Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_009,Verify Store Profile picture of Social Mobilizer ,Social Mobilizer can click their Profile picture from Mobilizer app ,The profile photo should be stored in Agency app,High,v1.2,Shown in vendor details,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_010,Verify Store Govenrment ID photo of Social Mobilizer ,Social Mobilizer can click their Government ID photo from Mobilizer app ,The government ID photo should be stored in Agency app,High,v1.2,Not available ,Fail,"28 December,2021",
AGENCY_SOCIALMOBILIZER_011,Verify View List of Social Mobilizers,Social Mobilizers can be added from Agency app and Mobilizer app. Both the vedors are displyed in agency app ,Social Mobilizers added from agency app and Social Mobilizers registered from Mobilizer app should be listed in Agency app ,High,v1.2,Soial Mobilizers registered are listed in agency app ,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_012,Veirfy View Social Mobilizer List in Project ,You can see the list of Social Mobilizers registered to a project in project details as well. ,The added and assigned social mobilizers should be shown in Project details>Social Mobilizer  List ,High,v1.2,Available,Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_013,Verify add Social Mobilizer   in Dashboard ,"After registering a new Social Mobilizer , the number of Social Mobilizer will be increasd in Dashboard as well ",The number of Social Mobilizer should be increased after registering a new Social Mobilizer ,High,v1.2,increased,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_014,Verify Social Mobilizers information ,Social Mobilizers information are updated in the syetsm ,"The Social Mobilizer information should have :
Profile Picture 
Name
Phone Number 
Address
Organization Name 
Email address
GOvt ID card
Identity Photo",High,v1.3,"The details of Mobilizer Viewed are:
Profile Picture 
Social Mobilizer Status( Active/Suspend)
Name
Phone Number 
Address
Organization Name 
Email address
GOvt ID card",Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_015,Verify View Social Mobilizer details ,All the information of the Social Mobilizer is shown in Agency app,System Users should be able to view all the details of Social Mobilizer ,High,v1.2,details can be viewed ,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_016,Verify Edit Social Mobilizer Details ,The Details of Social Mobilizer can be edited if required,System User should be able to edit the details of Social Mobilizer ,High,v1.2,edits can be made ,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_017,Verify Restrict Wallet address edit ,All the Social Mobilizer details can be edited except the wallet address,System Users should be restricted to edit the Wallet address of Social Mobilizer ,High,v1.2,Restriction to edit wallet address,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_018,Veify Upload documents later ,"If Social Mobilizers have not uploded the documents like MOU , Digital Signature, they can be uploaded by agency as well",System Users should be able to upload the missing documents of Social Mobilizer. ,High,v1.2,Available,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_019,Verify Social Mobilizer Assign to project ,Social Mobilizers can be assigned to particluar /multiple projects ,System Users should be able to assign Social Mobilizers to one or multiple projects,High,v1.3,Available ,Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_020,Verify Display Projects ,Social Mobilizers can be assigned to particluar /multiple projects ,System users should be able to view list of projects they are assigned to ,High,v1.3,Available ,Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_021,Verify Unassign from project ,SOcial mobilizer can be assigned to multiple projects. Agency app should be able to unassign from one project ,Social mobilizer should be unassigned from a project ,High,v1.3,Available ,Pass,"28 December,2021",
AGENCY_SOCIALMOBILIZER_022,Verify track Social Mobilizer Transaction ,Social Mobilizer will add the beneficiries in Rahat application. Agency can track the actions of Social mobilizer ,System User should be able to track the Transaction of Social Mobilizer from agency app ,High,v1.2,Not tested ,Fail,"28 December,2021",
AGENCY_SOCIALMOBILIZER_023,Veirfy Search Social Mobilizer ,You can search for the Social Mobilizer by Name ,System user should be able to search the Social Mobilizer by Name ,High,v1.2,available,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_024,Veirfy Search Social Mobilizer ,You can search for the Social Mobilizer by Phone Number ,System user should be able to search the Social Mobilizer by Phone Number ,High,v1.2,available,Pass,"24 September,2021",
AGENCY_SOCIALMOBILIZER_025,Verify Filter Social Mobilizer ,You can also filter the Social Mobilizer as per the Social Mobilizer status ,System User should be able to filter the Social Mobilizer as per the Social Mobilizer status : New/ Active ,High,v1.2,Not available ,Fail,"28 December,2021",
